"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"L089","Unspecified other connection to pulmonary artery from subclavian artery","L08.9",,"","HES-OPCSv4.9"
"L09","Other connection to pulmonary artery","L09",,"","HES-OPCSv4.9"
"L091","Creation of anastomosis to pulmonary artery from vena cava","L09.1",,"","HES-OPCSv4.9"
"L092","Removal of anastomosis between pulmonary artery and vena cava","L09.2",,"","HES-OPCSv4.9"
"L098","Other specified other connection to pulmonary artery","L09.8",,"","HES-OPCSv4.9"
"L099","Unspecified other connection to pulmonary artery","L09.9",,"","HES-OPCSv4.9"
"L10","Repair of pulmonary artery","L10",,"","HES-OPCSv4.9"
"L101","Repair of pulmonary artery using prosthesis","L10.1",,"","HES-OPCSv4.9"
"L102","Repair of pulmonary artery using patch","L10.2",,"","HES-OPCSv4.9"
"L103","Repair of anomalous pulmonary artery NEC","L10.3",,"","HES-OPCSv4.9"
"L104","Repair of pulmonary arterial sling","L10.4",,"","HES-OPCSv4.9"
"L108","Other specified repair of pulmonary artery","L10.8",,"","HES-OPCSv4.9"
"L109","Unspecified repair of pulmonary artery","L10.9",,"","HES-OPCSv4.9"
"L12","Other open operations on pulmonary artery","L12",,"","HES-OPCSv4.9"
"L121","Application of band to pulmonary artery","L12.1",,"","HES-OPCSv4.9"
"L122","Adjustment of band to pulmonary artery","L12.2",,"","HES-OPCSv4.9"
"L123","Removal of band from pulmonary artery","L12.3",,"","HES-OPCSv4.9"
"L126","Pulmonary artery ligation","L12.6",,"","HES-OPCSv4.9"
"L128","Other specified other open operations on pulmonary artery","L12.8",,"","HES-OPCSv4.9"
"L129","Unspecified other open operations on pulmonary artery","L12.9",,"","HES-OPCSv4.9"
"L13","Transluminal operations on pulmonary artery","L13",,"","HES-OPCSv4.9"
"L136","Percutaneous transluminal insertion of stent into pulmonary artery","L13.6",,"","HES-OPCSv4.9"
"L138","Other specified transluminal operations on pulmonary artery","L13.8",,"","HES-OPCSv4.9"
"L139","Unspecified transluminal operations on pulmonary artery","L13.9",,"","HES-OPCSv4.9"
"L234","Release of vascular ring of aorta","L23.4",,"","HES-OPCSv4.9"
"L237","Repair of interrupted aortic arch","L23.7",,"","HES-OPCSv4.9"
"L69","Operations on major systemic to pulmonary collateral arteries","L69",,"","HES-OPCSv4.9"
"L691","Major systemic to pulmonary collateral artery occlusion","L69.1",,"","HES-OPCSv4.9"
"L692","Pulmonary unifocalisation","L69.2",,"","HES-OPCSv4.9"
"L695","Percutaneous transluminal insertion of stent into major systemic to pulmonary collateral artery","L69.5",,"","HES-OPCSv4.9"
"L698","Other specified operations on major systemic to pulmonary collateral arteries","L69.8",,"","HES-OPCSv4.9"
"L699","Unspecified operations on major systemic to pulmonary collateral arteries","L69.9",,"","HES-OPCSv4.9"
"L796","Repair of anomalous caval vein connection","L79.6",,"","HES-OPCSv4.9"
"L80","Operations on individual pulmonary veins","L80",,"","HES-OPCSv4.9"
"L801","Repair of pulmonary vein stenosis","L80.1",,"","HES-OPCSv4.9"
"L804","Percutaneous transluminal insertion of stent into pulmonary vein","L80.4",,"","HES-OPCSv4.9"
"L808","Other specified operations on individual pulmonary veins","L80.8",,"","HES-OPCSv4.9"
"L809","Unspecified operations on individual pulmonary veins","L80.9",,"","HES-OPCSv4.9"
"L821","Transposition of valve of vein","L82.1",,"","HES-OPCSv4.9"
"Z332","Septum of ventricle of heart","Z33.2",,"","HES-OPCSv4.9"
